strand,consensus_exact,consensus_edit_distance,consensus_N_count,consensus_read_count,consensus_mean_depth,dbgps_status,dbgps_observed,dbgps_total_kmers,dbgps_path_complete,dbgps_min_coverage,dbgps_mean_coverage,dbgps_max_coverage,classification
101010115,False,1,1,13,10.451,ok,134,134,True,1,8.657,13,dbgps_only
101010148,False,1,1,7,5.634,ok,134,134,True,1,4.328,7,dbgps_only
101010192,False,1,1,7,4.713,ok,134,134,True,1,3.836,5,dbgps_only
101010220,True,0,0,9,7.305,ok,130,134,False,0,5.194,8,consensus_only
101010263,False,1,1,2,1.610,ok,134,134,True,1,1.291,2,dbgps_only
101010267,False,1,1,13,10.463,ok,134,134,True,5,7.888,13,dbgps_only
101010305,False,1,1,6,4.915,ok,134,134,True,1,3.09,5,dbgps_only
101010387,False,1,1,5,3.957,ok,134,134,True,1,1.537,3,dbgps_only
101010390,True,0,0,14,11.268,ok,120,134,False,0,8.881,13,consensus_only
101010398,True,0,0,7,5.183,ok,122,134,False,0,4.246,6,consensus_only
101010465,False,1,1,7,5.628,ok,134,134,True,1,4.948,7,dbgps_only
101010578,False,1,1,7,5.402,ok,134,134,True,1,4.015,7,dbgps_only
101010612,False,1,1,26,21.293,ok,134,134,True,6,15.418,22,dbgps_only
101010641,True,0,0,8,5.341,ok,121,134,False,0,4.164,6,consensus_only
101010644,False,1,1,6,4.921,ok,134,134,True,1,3.828,6,dbgps_only
101010692,False,1,1,4,3.232,ok,134,134,True,1,2.851,4,dbgps_only
101010696,False,2,2,4,3.220,ok,134,134,True,1,2.567,4,dbgps_only
101010842,False,1,1,15,12.006,ok,134,134,True,2,9.485,14,dbgps_only
101010880,False,1,1,5,4.024,ok,134,134,True,1,3.567,5,dbgps_only
101010914,False,1,0,8,6.232,ok,134,134,True,1,5.194,8,dbgps_only
101010945,True,0,0,9,7.244,ok,127,134,False,0,4.888,8,consensus_only
101011033,True,0,0,4,3.220,ok,113,134,False,0,2.403,4,consensus_only
101011065,True,0,0,22,16.421,ok,123,134,False,0,12.134,16,consensus_only
101011146,True,0,0,11,8.024,ok,133,134,False,0,6.47,10,consensus_only
101011175,True,0,0,7,5.683,ok,128,134,False,0,3.97,7,consensus_only
101011250,False,1,1,3,2.415,ok,134,134,True,1,1.784,3,dbgps_only
101011274,False,1,1,4,3.220,ok,134,134,True,1,2.261,4,dbgps_only
101011329,True,0,0,17,13.683,ok,121,134,False,0,11.037,17,consensus_only
101011495,False,1,1,7,5.634,ok,134,134,True,1,4.373,7,dbgps_only
