strand,consensus_exact,consensus_edit_distance,consensus_N_count,consensus_read_count,consensus_mean_depth,dbgps_status,dbgps_observed,dbgps_total_kmers,dbgps_path_complete,dbgps_min_coverage,dbgps_mean_coverage,dbgps_max_coverage,classification
101010185,True,0,0,5,3.579,ok,126,134,False,0,2.291,5,consensus_only
101012246,True,0,0,9,7.244,ok,129,134,False,0,5.112,9,consensus_only
101013430,True,0,0,103,81.567,ok,121,134,False,0,59.575,87,consensus_only
101013891,False,1,1,6,4.829,ok,134,134,True,1,3.784,6,dbgps_only
101014457,True,0,0,6,4.402,ok,128,134,False,0,3.336,5,consensus_only
101014576,False,2,2,189,149.720,ok,134,134,True,18,98.993,153,dbgps_only
101014826,False,1,1,5,4.024,ok,134,134,True,1,3.201,5,dbgps_only
101014889,False,2,2,13,10.238,ok,134,134,True,1,8.604,13,dbgps_only
101015872,True,0,0,14,11.262,ok,133,134,False,0,7.433,12,consensus_only
101016080,False,1,1,23,18.555,ok,134,134,True,1,14.896,22,dbgps_only
101016694,False,1,1,8,6.280,ok,134,134,True,1,4.59,7,dbgps_only
101017785,False,1,1,406,245.921,ok,134,134,True,71,155.813,254,dbgps_only
101018699,False,1,1,13,10.457,ok,134,134,True,2,7.56,12,dbgps_only
101018809,False,1,1,45,34.159,ok,134,134,True,6,21.709,34,dbgps_only
101019092,False,1,1,113,90.585,ok,134,134,True,11,63.06,99,dbgps_only
101019137,False,1,1,16,12.915,ok,134,134,True,2,9.903,15,dbgps_only
101019292,False,1,1,12,9.659,ok,134,134,True,3,7.313,12,dbgps_only
101020239,False,1,1,7,4.951,ok,134,134,True,1,2.582,5,dbgps_only
101021483,True,0,0,77,51.780,ok,133,134,False,0,28.53,43,consensus_only
101021616,True,0,0,4,2.189,ok,128,134,False,0,1.522,2,consensus_only
101021745,False,1,0,11,7.549,ok,134,134,True,1,4.873,8,dbgps_only
101021850,False,1,1,195,156.165,ok,134,134,True,15,108.769,162,dbgps_only
101022036,False,1,1,6,3.823,ok,134,134,True,1,2.739,4,dbgps_only
101022196,False,1,1,257,201.829,ok,134,134,True,42,141.649,221,dbgps_only
101022739,False,1,0,26,20.220,ok,134,134,True,1,15.985,22,dbgps_only
101024221,False,1,1,451,331.140,ok,134,134,True,113,244.963,378,dbgps_only
101025573,False,2,1,9,7.226,ok,134,134,True,2,6.425,9,dbgps_only
101027400,True,0,0,14,8.720,ok,129,134,False,0,5.433,9,consensus_only
101029197,False,1,1,11,8.165,ok,134,134,True,2,6.328,10,dbgps_only
101029309,False,1,1,21,16.902,ok,134,134,True,1,13.179,21,dbgps_only
101030230,False,1,1,4,3.220,ok,134,134,True,1,2.776,4,dbgps_only
101030550,False,1,1,7,5.634,ok,134,134,True,1,3.843,6,dbgps_only
101030975,False,2,2,7,5.305,ok,134,134,True,1,3.575,6,dbgps_only
101032088,False,1,1,10,8.067,ok,134,134,True,2,6.754,10,dbgps_only
101033576,False,1,1,36,27.567,ok,134,134,True,2,21.313,31,dbgps_only
101033634,False,1,1,11,8.829,ok,134,134,True,1,5.821,10,dbgps_only
101034063,False,1,1,22,16.860,ok,134,134,True,3,11.075,19,dbgps_only
101035175,False,2,2,10,7.872,ok,134,134,True,1,5.097,10,dbgps_only
101035480,False,1,1,12,9.768,ok,134,134,True,1,7.978,12,dbgps_only
101035600,False,1,0,5,3.189,ok,134,134,True,1,2.209,5,dbgps_only
101036173,False,2,2,16,12.878,ok,134,134,True,2,10.082,16,dbgps_only
101036208,False,1,1,7,5.817,ok,134,134,True,1,4.507,7,dbgps_only
101037920,True,0,0,113,89.848,ok,124,134,False,0,67.022,98,consensus_only
101037937,False,1,1,13,10.000,ok,134,134,True,3,7.97,12,dbgps_only
101038110,False,1,1,23,17.683,ok,134,134,True,2,14.634,21,dbgps_only
101041058,False,1,1,12,9.561,ok,134,134,True,2,5.724,11,dbgps_only
101042633,False,1,1,377,276.933,ok,134,134,True,65,200.396,309,dbgps_only
101042927,False,1,1,7,5.634,ok,134,134,True,3,4.664,7,dbgps_only
101043665,True,0,0,5,3.134,ok,131,134,False,0,2.56,3,consensus_only
101044040,True,0,0,9,7.244,ok,117,134,False,0,4.828,9,consensus_only
101045765,False,1,1,22,16.689,ok,134,134,True,3,11.739,19,dbgps_only
101046858,False,1,1,276,217.329,ok,134,134,True,34,148.187,226,dbgps_only
101046919,False,1,0,63,49.988,ok,134,134,True,4,33.478,53,dbgps_only
101048642,True,0,0,11,8.555,ok,128,134,False,0,6.172,11,consensus_only
101049868,False,1,1,5,4.024,ok,134,134,True,1,3.687,5,dbgps_only
101050714,False,1,1,68,53.921,ok,134,134,True,4,30.701,50,dbgps_only
101050778,False,1,1,5,3.726,ok,134,134,True,1,2.239,4,dbgps_only
101051413,False,1,1,10,8.049,ok,134,134,True,2,6.44,10,dbgps_only
101051523,False,1,0,306,189.238,ok,134,134,True,36,124.306,258,dbgps_only
101051728,False,2,1,7,5.701,ok,134,134,True,1,3.612,6,dbgps_only
101051847,False,1,0,149,117.951,ok,134,134,True,21,85.104,128,dbgps_only
101052566,True,0,0,12,8.512,ok,129,134,False,0,5.828,10,consensus_only
101053115,False,1,1,4,2.341,ok,134,134,True,1,1.813,3,dbgps_only
101053328,True,0,0,23,18.165,ok,121,134,False,0,13.552,21,consensus_only
101053740,True,0,0,7,5.140,ok,124,134,False,0,3.149,6,consensus_only
101053962,False,1,1,513,291.439,ok,134,134,True,90,183.619,376,dbgps_only
101053968,False,1,1,5,4.024,ok,134,134,True,1,3.291,5,dbgps_only
101055447,False,1,0,7,5.433,ok,134,134,True,1,3.567,6,dbgps_only
101055579,True,0,0,10,7.866,ok,124,134,False,0,4.784,9,consensus_only
