metric,value
reference_strands,210000
consensus_exact,209159
dbgps_path_complete,209357
agreement_recovered,209072
agreement_missing_or_broken,556
consensus_only,87
dbgps_only,285
minimap2_real_seconds,69.82
minimap2_peak_rss_gb,1.349
consensus_parse_seconds,321.188
alignment_consensus_total_seconds,391.008
dbgps_real_seconds,32.51
dbgps_peak_rss_gb,10.706
dbgps_distinct_kmers,713687359
dbgps_total_kmer_coverage,4738228211
paf_total_alignments,40234908
paf_primary_alignments,40234908
paf_used_alignments,39673113
